,feature,importance
0,AAPL_returns_1d,0.0
37,GOOGL_macd_hist,0.0
27,GOOGL_close_open_ratio,0.0
28,AAPL_rsi,0.0
29,AAPL_macd_hist,0.0
30,AAPL_bb_position,0.0
31,AAPL_bb_width,0.0
32,AAPL_stoch_k,0.0
33,AAPL_atr_ratio,0.0
34,AAPL_mfi,0.0
35,AAPL_williams_r,0.0
36,GOOGL_rsi,0.0
38,GOOGL_bb_position,0.0
1,AAPL_returns_2d,0.0
39,GOOGL_bb_width,0.0
40,GOOGL_stoch_k,0.0
41,GOOGL_atr_ratio,0.0
42,GOOGL_mfi,0.0
43,GOOGL_williams_r,0.0
44,AAPL_momentum_ratio,0.0
45,AAPL_vol_regime,0.0
46,AAPL_rsi_stoch_avg,0.0
47,GOOGL_momentum_ratio,0.0
48,GOOGL_vol_regime,0.0
26,GOOGL_high_low_ratio,0.0
25,GOOGL_volume_change,0.0
24,GOOGL_volume_ratio,0.0
23,GOOGL_price_sma50_ratio,0.0
2,AAPL_returns_5d,0.0
3,AAPL_returns_10d,0.0
