,feature,importance
70,S&P 500,0.19817725894972682
73,10Y Treasury Yield,0.1681224014610052
51,CCI_20,0.12148579955101013
8,Gap,0.06030450016260147
81,DCOILWTICO,0.0545006999745965
71,VIX,0.05340449884533882
3,Returns_60d,0.05196346854791045
79,VIXCLS,0.048426900058984756
0,Returns_1d,0.03462570160627365
58,Returns_autocorr_1,0.029214700683951378
30,BB_width_20,0.0190548999235034
76,VIX_change,0.018353820778429508
60,Returns_autocorr_10,0.018186699599027634
42,RSI_7,0.015214099548757076
35,BB_width_50,0.014339500106871128
38,ATR_ratio,0.01376659981906414
80,DEXUSEU,0.011938000097870827
40,Volatility_20,0.011001099832355976
72,Dollar Index,0.010450899600982666
63,Resistance_level,0.008324960246682167
39,Volatility_10,0.003390690078958869
55,Returns_kurt_20,0.0
54,Returns_skew_20,0.0
56,Returns_skew_60,0.0
57,Returns_kurt_60,0.0
53,Price_zscore_60,0.0
52,Price_zscore_20,0.0
59,Returns_autocorr_5,0.0
7,Price_momentum_60,0.0
61,Trend_strength,0.0
