,feature,importance
0,Returns_1d,0.0
61,Trend_strength,0.0
59,Returns_autocorr_5,0.0
58,Returns_autocorr_1,0.0
57,Returns_kurt_60,0.0
56,Returns_skew_60,0.0
55,Returns_kurt_20,0.0
54,Returns_skew_20,0.0
53,Price_zscore_60,0.0
52,Price_zscore_20,0.0
51,CCI_20,0.0
50,ROC_20,0.0
49,ROC_10,0.0
48,ROC_5,0.0
47,Williams_R,0.0
46,STOCH_d,0.0
45,STOCH_k,0.0
44,RSI_21,0.0
43,RSI_14,0.0
60,Returns_autocorr_10,0.0
62,Support_level,0.0
1,Returns_5d,0.0
63,Resistance_level,0.0
80,DEXUSEU,0.0
79,VIXCLS,0.0
78,DGS10,0.0
77,FEDFUNDS,0.0
76,VIX_change,0.0
75,Correlation_SPY,0.0
74,SPY_returns,0.0
